Project,Year,Date,Gradient,Site,PlotID,Individual_nr,ID,Functional_group,Taxon,Trait,Value,Elevation_m,Latitude_N,Longitude_E
Gradient,2018,2018-07-20,B,5,D,1,AIB1395,vascular,saxifraga cernua,Plant_Height_cm,6.5,169.66575622558594,78.23743990485644,15.353924144362647
Gradient,2018,2018-07-20,B,5,D,1,AIB1395,vascular,saxifraga cernua,Wet_Mass_g,0.029166666666666664,169.66575622558594,78.23743990485644,15.353924144362647
Gradient,2018,2018-07-20,B,5,D,1,AIB1395,vascular,saxifraga cernua,Dry_Mass_g,0.004,169.66575622558594,78.23743990485644,15.353924144362647
Gradient,2018,2018-07-20,B,5,D,1,AIB1395,vascular,saxifraga cernua,Leaf_Thickness_mm,0.5660000000000001,169.66575622558594,78.23743990485644,15.353924144362647
Gradient,2018,2018-07-20,B,5,D,1,AIB1395,vascular,saxifraga cernua,Leaf_Area_cm2,0.6746666666666666,169.66575622558594,78.23743990485644,15.353924144362647
Gradient,2018,2018-07-20,B,5,D,1,AIB1395,vascular,saxifraga cernua,SLA_cm2_g,168.66666666666666,169.66575622558594,78.23743990485644,15.353924144362647
Gradient,2018,2018-07-20,B,5,D,1,AIB1395,vascular,saxifraga cernua,LDMC,0.13714285714285715,169.66575622558594,78.23743990485644,15.353924144362647
Gradient,2018,2018-07-20,B,5,D,1,AIB1395,vascular,saxifraga cernua,C_percent,38.89,169.66575622558594,78.23743990485644,15.353924144362647
Gradient,2018,2018-07-20,B,5,D,1,AIB1395,vascular,saxifraga cernua,N_percent,1.14,169.66575622558594,78.23743990485644,15.353924144362647
Gradient,2018,2018-07-20,B,5,D,1,AIB1395,vascular,saxifraga cernua,CN_ratio,34.1140350877193,169.66575622558594,78.23743990485644,15.353924144362647
Gradient,2018,2018-07-20,B,5,D,1,AIB1395,vascular,saxifraga cernua,dN15_permil,9.988262634277298,169.66575622558594,78.23743990485644,15.353924144362647
Gradient,2018,2018-07-20,B,5,D,1,AIB1395,vascular,saxifraga cernua,dC13_permil,-30.4534670257568,169.66575622558594,78.23743990485644,15.353924144362647
Gradient,2018,2018-07-20,B,5,D,1,AIB1395,vascular,saxifraga cernua,P_percent,0.2785816227397877,169.66575622558594,78.23743990485644,15.353924144362647
Gradient,2018,2018-07-20,B,5,D,1,AIB1395,vascular,saxifraga cernua,NP_ratio,4.092157942036362,169.66575622558594,78.23743990485644,15.353924144362647
Gradient,2018,2018-07-20,B,5,B,3,AXL1488,vascular,poa arctica,Plant_Height_cm,5,171.8372039794922,78.23747962954826,15.354210255125114
Gradient,2018,2018-07-20,B,5,B,3,AXL1488,vascular,poa arctica,Leaf_Thickness_mm,0.14966666666666667,171.8372039794922,78.23747962954826,15.354210255125114
Gradient,2018,2018-07-20,B,5,B,2,AXM6346,vascular,poa arctica,Plant_Height_cm,5.5,171.8372039794922,78.23747962954826,15.354210255125114
Gradient,2018,2018-07-20,B,5,B,2,AXM6346,vascular,poa arctica,Wet_Mass_g,0.014333333333333332,171.8372039794922,78.23747962954826,15.354210255125114
Gradient,2018,2018-07-20,B,5,B,2,AXM6346,vascular,poa arctica,Dry_Mass_g,0.0033333333333333335,171.8372039794922,78.23747962954826,15.354210255125114
Gradient,2018,2018-07-20,B,5,B,2,AXM6346,vascular,poa arctica,Leaf_Thickness_mm,0.24366666666666667,171.8372039794922,78.23747962954826,15.354210255125114
Gradient,2018,2018-07-20,B,5,B,2,AXM6346,vascular,poa arctica,Leaf_Area_cm2,0.622,171.8372039794922,78.23747962954826,15.354210255125114
Gradient,2018,2018-07-20,B,5,B,2,AXM6346,vascular,poa arctica,SLA_cm2_g,186.6,171.8372039794922,78.23747962954826,15.354210255125114
Gradient,2018,2018-07-20,B,5,B,2,AXM6346,vascular,poa arctica,LDMC,0.23255813953488377,171.8372039794922,78.23747962954826,15.354210255125114
Gradient,2018,2018-07-20,B,5,B,1,AXN0475,vascular,poa arctica,Plant_Height_cm,6,171.8372039794922,78.23747962954826,15.354210255125114
Gradient,2018,2018-07-20,B,5,B,1,AXN0475,vascular,poa arctica,Wet_Mass_g,0.0098,171.8372039794922,78.23747962954826,15.354210255125114
Gradient,2018,2018-07-20,B,5,B,1,AXN0475,vascular,poa arctica,Dry_Mass_g,0.002,171.8372039794922,78.23747962954826,15.354210255125114
Gradient,2018,2018-07-20,B,5,B,1,AXN0475,vascular,poa arctica,Leaf_Thickness_mm,0.31966666666666665,171.8372039794922,78.23747962954826,15.354210255125114
Gradient,2018,2018-07-20,B,5,B,1,AXN0475,vascular,poa arctica,Leaf_Area_cm2,0.6123333333333333,171.8372039794922,78.23747962954826,15.354210255125114
Gradient,2018,2018-07-20,B,5,B,1,AXN0475,vascular,poa arctica,SLA_cm2_g,306.16666666666663,171.8372039794922,78.23747962954826,15.354210255125114
Gradient,2018,2018-07-20,B,5,B,1,AXN0475,vascular,poa arctica,LDMC,0.20408163265306123,171.8372039794922,78.23747962954826,15.354210255125114
Gradient,2018,2018-07-20,B,5,E,3,AXR5506,vascular,cerastium arcticum,Plant_Height_cm,5,170.1026153564453,78.23740982346087,15.35376896878559
